student_name,email,phone,school,city
Ana Souza,ana.souza@testecrm.com,+5511988887701,Toronto School,Toronto
Bruno Lima,bruno.lima@testecrm.com,+5511988887702,Vancouver College,Vancouver
Carla Mendes,carla.mendes@testecrm.com,+5511988887703,Montreal Institute,Montreal
Diego Alves,diego.alves@testecrm.com,+5511988887704,Calgary Academy,Calgary
Eduarda Rocha,eduarda.rocha@testecrm.com,+5511988887705,Ottawa School,Ottawa
Felipe Nunes,felipe.nunes@testecrm.com,+5511988887706,Winnipeg College,Winnipeg
Gabriela Costa,gabriela.costa@testecrm.com,+5511988887707,Quebec Language Center,Quebec
Henrique Dias,henrique.dias@testecrm.com,+5511988887708,Halifax School,Halifax
Isabela Freitas,isabela.freitas@testecrm.com,+5511988887709,Edmonton Institute,Edmonton
Joao Martins,joao.martins@testecrm.com,+5511988887710,Victoria College,Victoria
